1,삼성전자,"69,050","1,450",+2.14%,100,"4,087,510","5,919,638",50.32,"6,134,623",15.42,9.03,
2,SK하이닉스,"260,000","4,000",+1.56%,"5,000","1,892,806","728,002",55.06,"820,549",6.56,31.06,
3,LG에너지솔루션,"348,000","1,000",-0.29%,500,"814,320","234,000",4.24,"79,779",-82.29,-4.93,
4,삼성바이오로직스,"1,001,000","5,000",+0.50%,"2,500","712,452","71,174",12.81,"30,661",55.40,10.45,
5,한화에어로스페이스,"935,000","19,000",+2.07%,"5,000","482,118","51,563",43.93,"78,596",18.13,53.94,
6,삼성전자우,"56,100",700,+1.26%,100,"457,762","815,975",74.20,"575,059",12.53,N/A,
7,HD현대중공업,"510,000",0,0.00%,"5,000","452,743","88,773",10.91,"95,038",48.48,11.39,
8,현대차,"219,500","1,000",-0.45%,"5,000","449,443","204,758",36.40,"249,385",5.17,12.43,
9,기아,"106,900",400,+0.38%,"5,000","420,961","393,789",40.30,"236,475",4.91,19.09,
10,KB금융,"108,300","1,200",+1.12%,"5,000","413,123","381,462",77.52,"225,666",7.51,8.86,
11,셀트리온,"170,700",900,+0.53%,"1,000","394,213","230,939",21.29,"183,350",81.25,2.46,
12,두산에너빌리티,"59,700",100,+0.17%,"5,000","382,415","640,561",23.25,"1,960,679",-357.49,1.52,
13,한화오션,"121,600","5,200",+4.47%,"5,000","372,599","306,413",14.35,"3,311,276",42.89,11.52,
14,NAVER,"225,750","10,250",+4.76%,100,"354,095","156,853",42.22,"1,454,588",18.11,7.90,
15,신한지주,"64,300",300,+0.47%,"5,000","312,173","485,495",59.47,"332,386",7.06,8.11,
16,삼성생명,"151,300","7,500",+5.22%,500,"302,600","200,000",22.18,"229,969",14.27,6.18,
17,현대모비스,"321,000",500,-0.16%,"5,000","294,662","91,795",44.06,"91,881",7.17,9.35,
18,HD한국조선해양,"414,500",500,-0.12%,"5,000","293,355","70,773",32.55,"152,250",19.01,11.16,
19,삼성물산,"168,200","1,800",+1.08%,100,"285,901","169,977",27.60,"93,437",14.73,6.83,
20,카카오,"59,600","1,600",-2.61%,100,"263,506","442,125",29.58,"2,707,448",123.91,0.56,
21,한국전력,"36,950",500,+1.37%,"5,000","237,206","641,964",20.70,"843,005",3.75,9.22,
22,하나금융지주,"81,800",500,+0.62%,"5,000","232,904","284,724",66.69,"166,805",6.17,9.11,
23,HMM,"22,450",50,+0.22%,"5,000","230,121","1,025,039",6.40,"479,564",5.08,15.35,
24,메리츠금융지주,"126,100",800,+0.64%,500,"226,998","180,014",15.72,"71,338",10.32,23.44,
25,POSCO홀딩스,"278,000","3,000",-1.07%,"5,000","224,994","80,933",29.78,"113,441",47.07,2.00,
26,현대로템,"196,000","4,000",+2.08%,"5,000","213,919","109,142",31.41,"510,104",35.75,21.85,
27,삼성화재,"459,000","5,000",+1.10%,500,"211,191","46,011",55.85,"30,375",11.72,13.11,
28,SK스퀘어,"144,000","1,000",-0.69%,100,"190,859","132,541",53.30,"97,385",3.39,21.70,
29,LG화학,"267,500","4,000",-1.47%,"5,000","188,835","70,592",32.07,"97,432",-19.89,-2.11,
30,삼성중공업,"21,100",300,+1.44%,"1,000","185,680","880,000",31.92,"3,561,568",65.53,1.77,
31,우리금융지주,"24,600",100,+0.41%,"5,000","182,678","742,592",47.02,"256,996",6.35,9.39,
32,HD현대일렉트릭,"492,500","5,500",+1.13%,"5,000","177,532","36,047",36.32,"45,949",32.72,39.34,
33,고려아연,"830,000","14,000",+1.72%,"5,000","166,193","20,023",11.88,"10,075",42.78,2.28,
34,KT&G,"135,850","1,250",-0.91%,"5,000","165,822","122,062",41.42,"158,250",17.69,12.66,
35,삼성SDI,"202,500",500,-0.25%,"5,000","163,186","80,586",26.57,"205,518",-40.04,3.13,
36,크래프톤,"332,500","1,500",+0.45%,100,"157,582","47,393",42.21,"31,832",15.89,21.10,
37,SK이노베이션,"100,600",400,+0.40%,"5,000","151,941","151,035",13.51,"62,916",-5.12,-9.65,
38,기업은행,"18,980",60,+0.32%,"5,000","151,351","797,426",13.76,"248,640",5.66,8.06,
39,SK,"206,000","1,000",-0.48%,200,"149,356","72,503",25.30,"62,782",11.89,-5.64,
40,현대글로비스,"188,600","2,900",+1.56%,500,"141,450","75,000",49.95,"128,868",10.25,13.24,
41,KT,"52,100","1,200",-2.25%,"5,000","131,303","252,022",49.00,"235,585",14.13,2.85,
42,삼성전기,"168,900","6,700",+4.13%,"5,000","126,158","74,694",35.59,"545,948",22.33,8.16,
43,포스코퓨처엠,"137,500",900,-0.65%,500,"122,301","88,946",9.42,"113,737",-43.93,-7.98,
44,하이브,"285,500",500,+0.18%,500,"118,917","41,652",20.45,"54,226",213.22,0.31,
45,LG,"75,300",200,+0.27%,"5,000","118,410","157,251",34.43,"64,544",15.81,2.16,
46,LG전자,"72,400",200,+0.28%,"5,000","117,930","162,886",29.21,"245,948",17.76,1.81,
47,SK텔레콤,"54,900",100,+0.18%,100,"117,920","214,790",37.45,"289,499",11.63,10.83,
48,삼양식품,"1,564,000","3,000",-0.19%,"5,000","117,816","7,533",18.90,"11,663",36.98,39.37,
